Index,Category,Condition,Paragraphe,Source,Anticholinergics,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul,Inducteur_enz,Anticholinergic_Central,Hypoglycemia
# Choisir un médicament,,,,,,,,,,,,,,,,,,
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,"Antécédent de cardiopathie emboligène (fibrillations/flutter auriculaires, tachycardie atriale, valvulopathie mitral, prothèse mécanique) :","Prévention des complications thromboemboliques [d'une fibrillation auriculaire/ d'un flutter atrial/ d'une tachycardie atriale/ d'une valvulopathie mitrale/ d'une prothèse valvulaire mécanique]. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,"Antécédent d'infarctus du myocarde compliqué (avec thrombus mural, dysfonction ventriculaire gauche sévère ou dyskinésie emboligène) :","Prévention des complications thromboemboliques d'un infarctus du myocarde [Si possible donné la date] compliqué [d'un thrombus mural / d'une dysfonction ventriculaire gauche sévère/ d'une dyskinésie emboligène]. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications :,Antécédent de Thrombose Veineuse Profonde (TVP) ou d'Embolie Pulmonaire (EP) :,"Prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des contre-indications et précautions d'emplois :,Patient présentant une hypertension sévère (PAS > 180 mmHg et/ou PAD > 110 mmHg) :,Attention ce patient est en hypertension sévère [Insérer la valeur tensionnelle]. Préconiser un arrêt de l'antivitamine K tant que la PAS est supérieureà 180 mmHg et/ou que la PAD est supérieur à 110 mmHg.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des contre-indications et précautions d'emplois :,"Patient admis aux urgences pour une hémorragie externalisé (méléna, hématémèse, hématurie) :",Le sujet âgé est à risque hémorragique élevé. Préconiser une réévaluation de la balance bénéfice-risque de la poursuite d'un traitement par antivitamine K. ,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription AINS sans IPP (ou anti-H2) :,"Attention ! L'association d'un anticoagulant oral et d'un AINS fait l'objet d'une interaction médicamenteuse de type : ASSOCIATION DÉCONSEILLÉE pour majoration du risque hémorragique de l'anticoagulant oral avec agression de la muqueuse gastroduodénale par les AINS. Réévaluer la balance-bénéfice risque d'un AINS chez le sujet âgé en préconisant, si maintien, l'instauration d'un IPP jusqu'à arrêt de l'AINS .",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,"Co-prescription inhibiteur de la recapture à la sérotonine (ISRS, IRSNa, antidépresseurs tricycliques, tramadol, lithium) :",Prendre en compte la majoration du risque hémorragique avec les inhibiteurs de recapture à la sérotonine tel que [Indiqué le médicament concerné].,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription corticothérapie à forte dose en en traitement prolongé supérieur à 10 jours :,"Prendre en compte la majoration du risque hémorragique propre à la corticothérapie (muqueuse digestive, fragilité vasculaire) à fortes doses ou en traitement prolongé supérieur à 10 jours, en outre d'un impact sur les métabolismes des facteurs de la coagulation.",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription BACTRIM :,Attention ! L'association d'un antivitamine K et du BACTRIM fait l'objet d'une interaction médicamenteuse de type : ASSOCIATION DÉCONSEILLÉE pour augmentation importante de l’effet de l’antivitamine K et du risque hémorragique. Préconiser un contrôle strict de l'INR durant le traitement par BACTRIM.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetyl-leucine [TANGANIL],0,Antécédent de vertige :,Prise en charge symptomatique de la crise vertigineuse. A reprendre si besoin.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des indications :,Patient anémié :,Prise en charge de l’anémie macrocytaire par carence en vitamine B9. A reprendre selon le dosage de la Vitamine B9. L'Hb est de X g/dL le ../../…. .,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des indications :,Co-prescription de méthotrexate avec mention du jour de prise exact dans la semaine :,Prévention de la toxicité hématologique du méthotrexate. À poursuivre.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des indications :,Co-prescription de méthotrexate sans mention du jour de prise exact dans la semaine :,"Prévention de la toxicité hématologique du méthotrexate. Pour une meilleure observance, Préconiser la mention du jour exact dans la semaine de la prise de l'acide folique (ex: Tous les jeudis).",Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Contrôle des posologies :,Prescription en dosage 0.4 mg :,Dosage à 0.4 mg est réservé pour les femmes enceintes. Si besoin d’une supplémentation en Vitamine B9 Privilégier l’acide folique à 5mg/J.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acide valproïque [DEPAKINE],0,Antécédent d'épilepsie :,Prise en charge de l'épilepsie partielle ou générale. À poursuivre.,Réglé,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des indications :,Antécédent d’HTA :,Prise en charge de l’HTA. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. A reprendre.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des indications :,Antécédent d'angor :,Prophylaxie des crises d'angor d'effort. À poursuivre.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des indications :,Antécédent d’Infarctus du Myocarde :,Traitement médicamenteux post-infarctus (Protocole BASIC) quelle que soit la pression artérielle et la fonction ventriculaire gauche.  A reprendre.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des indications :,Antécédent de tachyarythmie cardiaque (incluant FA) :,Prise en charge symptomatique de la [tachycardie auriculaire/fibrillation auriculaire/flutter auriculaire/extrasystole ventriculaire/tachycardie jonctionnelle/ tachycardie ventriculaire/erethisme cardiaque]. A poursuivre.,Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Acebutolol [SECTRAL],Contrôle des posologies :,DFG < 50 ml/min :,"Attention ! Avec un DFG inférieur à 50 ml/min, Il est recommandé de diminuer la posologie usuelle de moitié. À prendre en compte.",Réglé,0,0,0,0,0,0,0,0,1,0,0,0,0,0
