Index,Category,Condition,Paragraphe,Reference,Module_GPR,Anticholinergics,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul,Inducteur_enz,Anticholinergic_Central,Hypoglycemia
# Choisir un médicament,,,,,,,,,,,,,,,,,
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications et stratégie thérapeutique :,"Antécédent de cardiopathie emboligène (fibrillations/flutter auriculaires, tachycardie atriale, valvulopathie mitral, prothèse mécanique) :","Prévention des complications thromboemboliques [d'une fibrillation auriculaire/ d'un flutter atrial/ d'une tachycardie atriale/ d'une valvulopathie mitrale/ d'une prothèse valvulaire mécanique]. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",RCP du médicament,Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications et stratégie thérapeutique :,"Antécédent d'infarctus du myocarde compliqué (avec thrombus mural, dysfonction ventriculaire gauche sévère ou dyskinésie emboligène) :","Prévention des complications thromboemboliques d'un infarctus du myocarde [Si possible donné la date] compliqué [d'un thrombus mural / d'une dysfonction ventriculaire gauche sévère/ d'une dyskinésie emboligène]. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",RCP du médicament,Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des indications et stratégie thérapeutique :,Antécédent de Thrombose Veineuse Profonde (TVP) ou d'Embolie Pulmonaire (EP) :,"Prévention des récidives des évènements thromboemboliques sous forme de TVP ou d’EP. Le dernier INR réalisé le ../../..... était de . . . [À poursuivre, augmenter ou diminuer selon l'INR]",RCP du médicament,Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des contre-indications et précautions d'emplois :,Patient présentant une hypertension sévère (PAS > 180 mmHg et/ou PAD > 110 mmHg) :,Attention ce patient est en hypertension sévère [Insérer la valeur tensionnelle]. Préconiser un arrêt de l'antivitamine K tant que la PAS est supérieureà 180 mmHg et/ou que la PAD est supérieur à 110 mmHg.,RCP du médicament,Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des contre-indications et précautions d'emplois :,"Patient admis aux urgences pour une hémorragie externalisé (méléna, hématémèse, hématurie) :",Le sujet âgé est à risque hémorragique élevé. Préconiser une réévaluation de la balance bénéfice-risque de la poursuite d'un traitement par antivitamine K. ,RCP du médicament,Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription AINS sans IPP (ou anti-H2) :,"Attention ! L'association d'un anticoagulant oral et d'un AINS fait l'objet d'une interaction médicamenteuse de type : ASSOCIATION DÉCONSEILLÉE pour majoration du risque hémorragique de l'anticoagulant oral avec agression de la muqueuse gastroduodénale par les AINS. Réévaluer la balance-bénéfice risque d'un AINS chez le sujet âgé en préconisant, si maintien, l'instauration d'un IPP jusqu'à arrêt de l'AINS .",Thesaurus de l'ANSM (Oct 2020),Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,"Co-prescription inhibiteur de la recapture à la sérotonine (ISRS, IRSNa, antidépresseurs tricycliques, tramadol, lithium) :",Prendre en compte la majoration du risque hémorragique avec les inhibiteurs de recapture à la sérotonine tel que [Indiqué le médicament concerné].,Thesaurus de l'ANSM (Oct 2020),Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription corticothérapie à forte dose en en traitement prolongé supérieur à 10 jours :,"Prendre en compte la majoration du risque hémorragique propre à la corticothérapie (muqueuse digestive, fragilité vasculaire) à fortes doses ou en traitement prolongé supérieur à 10 jours, en outre d'un impact sur les métabolismes des facteurs de la coagulation.",Thesaurus de l'ANSM (Oct 2020),Checked,0,0,0,0,0,0,0,0,0,0,0,0
Acenocoumarol [SINTROM / MINI-SINTROM],Contrôle des intéractions médicamenteuses :,Co-prescription BACTRIM :,Attention ! L'association d'un antivitamine K et du BACTRIM fait l'objet d'une interaction médicamenteuse de type : ASSOCIATION DÉCONSEILLÉE pour augmentation importante de l’effet de l’antivitamine K et du risque hémorragique. Préconiser un contrôle strict de l'INR durant le traitement par BACTRIM.,Thesaurus de l'ANSM (Oct 2020),Checked,0,0,0,0,0,0,0,0,0,0,0,0
