Index,Condition,Paragraphe,Charge anticholinergique centrale,Charge anticholinergique périphérique,Torsadogène,Dépresseur_SNC,Médicam inapprop,Hypok,HyperK,Bradycardisant,HypoT_Ortho,Pro_convul
# Choisir un médicament,,,,,,,,,,,,
Acetyl-leucine [TANGANIL],Par défaut :,Prise en charge symptomatique de la crise vertigineuse. A reprendre si besoin.,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Patient anémié :,Prise en charge de l’anémie macrocytaire par carence en vitamine B9. A reprendre selon le dosage de la Vitamine B9.,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Co-prescription de méthotrexate :,Co-administration avec le méthotrexate pour éviter sa toxicité. Préciser le jour de prise exact. A reprendre.,0,0,0,0,0,0,0,0,0,0
Acide folique [SPECIAFOLDINE],Prescription en dosage  0.4 mg :,Dosage à 0.4 mg est réservé pour les femmes enceintes. Si besoin d’une supplémentation en Vitamine B9 Privilégier l’acide folique à 5mg/J.,0,0,0,0,0,0,0,0,0,0
Acebutolol,(À TRAITER),(À TRAITER),0,0,0,0,0,0,0,1,0,0
Agomelatine,(À TRAITER),(À TRAITER),0,0,0,1,0,0,0,0,0,0
Alfusozine [XATRAL],Antécédent d'Hypertrophie Bégnine de la Prostate :,Prise en charge de l’hypertrophie bénigne de la prostate. Médicament majorant le risque d’hypotension orthostatique avec risque de chutes en particulier chez les personnes sujettes à des hypotensions orthostatiques et/ou traitées par des antihypertenseurs. A prendre en compte. Privilégier des inhibiteurs sélectifs du récepteur alpha 1A tels que la Tamsulosine et la Silodosine.,0,0,0,0,0,0,0,0,1,0
Alfusozine [XATRAL],Si co-prescription urapidil :,L’utilisation concomitante de l’urapidil et du alfusozine fait l’objet d’une association déconseillée (Thésaurus de l’ANSM; 2020) à cause d’une majoration de l'effet hypotenseur à risque d’hypotension orthostatique sévère.,0,0,0,0,0,0,0,0,1,0
Allopurinol [ZYLORIC],DFG > 100 mL/min et dose ≤ 900 mg/j OU respect des posologies selon le DFG :,Traitement de fond de la goutte. Uricémie cible < 360 µmol/l; voire 300 µmol/l. A reprendre.,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],80 < DFG < 100 ml/min et dose > 300 mg/j :,Traitement de fond de la goutte. Avec un DFG de … ml/min; privilégier la dose maximum préconisée qui est de 300 mg/jour.,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],40 < DFG < 80 ml/minet dose > 200 mg/j :,Traitement de fond de la goutte. Avec un DFG de … ml/min; privilégier la dose maximum préconisée qui est de 200 mg/jour.,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],20 < DFG 40 ml/minet dose > 100 mg/j :,Traitement de fond de la goutte. Avec un DFG de … ml/min; privilégier la dose maximum préconisée qui est de 100 mg/jour.,0,0,0,0,0,0,0,0,0,0
Allopurinol [ZYLORIC],DFG < 20 ml/minet dose > 100 mg tous les 2 jours :,Traitement de fond de la goutte. Avec un DFG de … ml/min; privilégier la dose maximum préconisée qui est de 100 mg tous les 2 jours.,0,0,0,0,0,0,0,0,0,0
Alimemazine [THERALENE],Par défaut :,Prise en charge de l’insomnie occasionnelle ou transitoire. Médicament anticholinergique; antidopaminergique; antiadrénergique et antihistaminique centrale déconseillée chez les sujets âgés qui; du fait de leur plus grande sensibilité; présentent un risque accru d'hypotension orthostatique; de vertiges; de sédation; de confusion; d'effets extrapyramidaux avec troubles de la marche; le tout majorant le risque de chute. Privilégier les Z-drugs  (zolpidem ou zopiclone). Prescription max 4 semaines.,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],A rajouter si le patient est atteint d’une hypertrophie bénigne de la prostate (traité par alfusozine; tamsulosine; permixon; tadenan; finastéride; dutastéride ou combodart) ou présentant un antécédent de glaucome à angle fermé ou qui est admis aux urgences pour globe vésical :,Médicament anticholinergique contre-indiqué chez ce patient [atteint d’une hypertrophie bénigne de la prostate/ présentant un antécédent de glaucome à angle fermé/ admis aux urgences pour globe vésical]. Préconiser l’arrêt de l’alimemazine. Privilégier un ISRS; IRSNa ou la miansérine/mirtazapine. Prégabaline si indication douleurs neuropathiques.,1,1,1,1,1,0,0,0,1,1
Alimemazine [THERALENE],A rajouter si patient épileptique :,Attention ! Médicament abaissant le seuil épileptogène. Réévaluer la balance bénéfice/risque en cas d'apparition ou d'augmentation des crises épileptiques malgré le traitement de fond. ,1,1,1,1,1,0,0,0,1,1
Alprazolam [XANAX],Prise uniquement au coucher :,Prise en charge de l’insomnie. Médicament à l’origine de troubles cognitifs; confusionnels et de chutes. Rappel : Le traitement médicamenteux de l’insomnie doit être de courte durée (comprenant la phase d’arrêt progressif) afin d’éviter un risque d’abus et de dépendance qui augmente avec la durée du traitement.,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Prises réparties dans la journée sans antécédent d’anxiété :,Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Pas d’ATCD dans le dossier médical. Médicament à l’origine de troubles cognitifs; confusionnels et de chutes. Privilégier la posologie minimale efficace. Attention au risque d’abus et de dépendance; ainsi qu’à la tolérance pharmacologique qui nécessite d’augmenter toujours plus les doses afin de retrouver un effet anxiolytique.,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Prises réparties dans la journée et antécédent de troubles cognitifs :,Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Patient aux antécédents de troubles cognitifs : Risque d’aggravation des troubles cognitifs et/ou apparition d’un syndrome confusionnel par la benzodiazépine avec risque de chutes. Préconiser un arrêt progressif en privilégiant; en cas de nécessité d’une approche pharmacologique; pour une anxiété chronique (évoluant depuis au moins 6 mois) : un traitement de fond par antidépresseurs (Sertraline ou Miansérine).,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Poso > 2 mg/jour,Prise en charge symptomatique des manifestations anxieuses sévères et/ou invalidantes. Pas d’ATCD dans le dossier médical. Pas de preuve d’efficacité supérieure aux doses supérieurs à 30 mg/j avec majoration des troubles cognitifs et confusionnels et majoration du risque de chute. Privilégier la posologie minimale efficace. Attention au risque d’abus et de dépendance; ainsi qu’à la tolérance pharmacologique qui nécessite d’augmenter toujours plus les doses afin de retrouver un effet anxiolytique.,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],A rajouter pour patient admis aux urgences pour insuffisance respiratoire :,Attention ! Médicament aggravant l’insuffisance respiratoire.,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],A rajouter si Utilisation concomitante d’une autre benzodiazépine (anxio ou hypno) au même moment de la journée :,Potentialisation des effets indésirables (troubles cognitifs; syndrome confusionnel; troubles de la vigilance; chutes) sans augmentation de l’efficacité.,1,1,0,1,0,0,0,0,0,0
Alprazolam [XANAX],Antécédent de sevrage alcoolique :,Prévention et traitement du delirium tremens et des autres manifestations du sevrage alcoolique. A reprendre.,1,1,0,1,0,0,0,0,0,0
Amantadine,(À TRAITER),(À TRAITER),2,2,0,0,0,0,0,0,1,0
Amiloride seul [MODAMIDE],Kaliémie > 5.5mmol/L :,ATTENTION ! Medicament contre-indiqué en cas d’hyperkaliémie. Préconiser l’arrêt immédiat de l’amiloride.,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Antécédent d’HTA stratégie thérapeutique incompète (sans diurétiques hypokaliémiant),Traitement adjuvant de l’HTA. Attention médicament utilisé pour prévenir la déplétion potassique chez les malades qui reçoivent des thiazidiques ou des diurétiques de l’anse. Privilégier de compléter la stratégie thérapeutique avec un diurétique hypokaliémiant avant d’instaurer l’amiloride. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. Surveiller la kaliémie.,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Antécédent d’HTA stratégie thérapeutique complète,Traitement adjuvant de l’HTA ; notamment pour prévenir la déplétion potassique chez les malades qui reçoivent des thiazidiques ou des diurétiques de l’anse. Rappel objectif tensionnel : 140/90 mmHg voire 150/90 mmHg pour perfusion cérébrale. Surveiller la kaliémie. A poursuivre.,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Antécédent  d’ascite et œdèmes des cirrhotiques,Prise en charge de l’ascite et œdèmes des cirrhotiques. Attention médicament hyperkaliémiant. A poursuivre.,0,0,0,0,0,0,1,0,0,0
Amiloride seul [MODAMIDE],Antécédent d’œdème d’origine cardiaque,Prise en charge d’œdème d’origine cardiaque. Attention médicament hyperkaliémiant. A poursuivre.,0,0,0,0,0,0,1,0,0,0
Amiodarone [CORDARONE],Posologie : 5 jours sur 7,Attention médicament photosensibilisant. Surveillance TSH et ASAT/ALAT. Aucune étude ne montre les bénéfices de la posologie « 5 jours sur 7 » qui a été déterminée de façon empirique pour palier la longue demi-vie de l’amiodarone (20 jours). L’important est de rechercher la posologie minimale efficace; variable selon les patients; après la dose de charge; qui est de 1/2 comprimé à 2 comprimés; à prendre tous les jours pour une meilleure observance (moins d’oubli).,0,0,1,0,0,0,0,1,0,0
